[01:03:28.433] [info] [LogGLFWWindow] Resize: width=1342, height=981
[01:03:28.446] [info] [LogGLFWWindow] Resize: width=1346, height=976
[01:03:28.461] [info] [LogGLFWWindow] Resize: width=1350, height=970
[01:03:28.475] [info] [LogGLFWWindow] Resize: width=1351, height=967
[01:03:28.491] [info] [LogGLFWWindow] Resize: width=1353, height=960
[01:03:28.507] [info] [LogGLFWWindow] Resize: width=1355, height=953
[01:03:28.521] [info] [LogGLFWWindow] Resize: width=1356, height=948
[01:03:28.536] [info] [LogGLFWWindow] Resize: width=1357, height=943
[01:03:28.550] [info] [LogGLFWWindow] Resize: width=1357, height=939
[01:03:28.566] [info] [LogGLFWWindow] Resize: width=1357, height=936
[01:03:28.586] [info] [LogGLFWWindow] Resize: width=1356, height=933
[01:03:28.611] [info] [LogGLFWWindow] Resize: width=1355, height=931
[01:03:28.641] [info] [LogGLFWWindow] Resize: width=1354, height=929
[01:03:28.657] [info] [LogGLFWWindow] Resize: width=1353, height=929
[01:03:28.671] [info] [LogGLFWWindow] Resize: width=1352, height=927
[01:03:28.686] [info] [LogGLFWWindow] Resize: width=1350, height=926
[01:03:28.700] [info] [LogGLFWWindow] Resize: width=1347, height=923
[01:03:28.716] [info] [LogGLFWWindow] Resize: width=1344, height=921
[01:03:28.733] [info] [LogGLFWWindow] Resize: width=1340, height=919
[01:03:28.746] [info] [LogGLFWWindow] Resize: width=1334, height=916
[01:03:28.760] [info] [LogGLFWWindow] Resize: width=1324, height=913
[01:03:28.775] [info] [LogGLFWWindow] Resize: width=1307, height=908
[01:03:28.791] [info] [LogGLFWWindow] Resize: width=1283, height=902
[01:03:28.808] [info] [LogGLFWWindow] Resize: width=1261, height=895
[01:03:28.821] [info] [LogGLFWWindow] Resize: width=1239, height=889
[01:03:28.835] [info] [LogGLFWWindow] Resize: width=1229, height=887
[01:03:28.861] [info] [LogGLFWWindow] Resize: width=1212, height=883
[01:03:28.864] [info] [LogGLFWWindow] Resize: width=1204, height=882
[01:03:28.882] [info] [LogGLFWWindow] Resize: width=1199, height=881
[01:03:28.895] [info] [LogGLFWWindow] Resize: width=1198, height=881
[01:03:29.136] [info] [LogGLFWWindow] Resize: width=1199, height=881
[01:03:29.150] [info] [LogGLFWWindow] Resize: width=1200, height=882
[01:03:29.168] [info] [LogGLFWWindow] Resize: width=1201, height=882
[01:03:29.184] [info] [LogGLFWWindow] Resize: width=1202, height=883
[01:03:29.406] [info] [LogGLFWWindow] Resize: width=1202, height=882
[01:03:29.421] [info] [LogGLFWWindow] Resize: width=1200, height=880
[01:03:29.435] [info] [LogGLFWWindow] Resize: width=1199, height=879
[01:03:29.451] [info] [LogGLFWWindow] Resize: width=1195, height=876
[01:03:29.467] [info] [LogGLFWWindow] Resize: width=1189, height=873
[01:03:29.483] [info] [LogGLFWWindow] Resize: width=1182, height=868
[01:03:29.495] [info] [LogGLFWWindow] Resize: width=1171, height=863
[01:03:29.511] [info] [LogGLFWWindow] Resize: width=1163, height=859
[01:03:29.526] [info] [LogGLFWWindow] Resize: width=1154, height=855
[01:03:29.544] [info] [LogGLFWWindow] Resize: width=1142, height=849
[01:03:29.558] [info] [LogGLFWWindow] Resize: width=1137, height=846
[01:03:29.571] [info] [LogGLFWWindow] Resize: width=1128, height=842
[01:03:29.587] [info] [LogGLFWWindow] Resize: width=1119, height=837
[01:03:29.602] [info] [LogGLFWWindow] Resize: width=1111, height=833
[01:03:29.617] [info] [LogGLFWWindow] Resize: width=1103, height=829
[01:03:29.635] [info] [LogGLFWWindow] Resize: width=1096, height=826
[01:03:29.651] [info] [LogGLFWWindow] Resize: width=1089, height=822
[01:03:29.662] [info] [LogGLFWWindow] Resize: width=1082, height=818
[01:03:29.677] [info] [LogGLFWWindow] Resize: width=1078, height=817
[01:03:29.692] [info] [LogGLFWWindow] Resize: width=1069, height=812
[01:03:29.709] [info] [LogGLFWWindow] Resize: width=1058, height=807
[01:03:29.725] [info] [LogGLFWWindow] Resize: width=1046, height=801
[01:03:29.737] [info] [LogGLFWWindow] Resize: width=1034, height=796
[01:03:29.752] [info] [LogGLFWWindow] Resize: width=1023, height=792
[01:03:29.768] [info] [LogGLFWWindow] Resize: width=1011, height=786
[01:03:29.793] [info] [LogGLFWWindow] Resize: width=998, height=780
[01:03:29.798] [info] [LogGLFWWindow] Resize: width=993, height=778
[01:03:29.812] [info] [LogGLFWWindow] Resize: width=981, height=773
[01:03:29.827] [info] [LogGLFWWindow] Resize: width=969, height=767
